"Species","LifeStage","CTmax","UniqueTrialID","Ramping_rate"
"Zebrafish","Embryo",40.3,"Zebrafish Embryo 1",18
"Zebrafish","Embryo",39.3,"Zebrafish Embryo 1",18
"Zebrafish","Embryo",40.7,"Zebrafish Embryo 2",18
"Zebrafish","Embryo",40.7,"Zebrafish Embryo 2",18
"Zebrafish","Embryo",40.6,"Zebrafish Embryo 2",18
"Zebrafish","Embryo",41.3,"Zebrafish Embryo 2",18
"Zebrafish","Embryo",40.8,"Zebrafish Embryo 2",18
"Zebrafish","Embryo",40.1,"Zebrafish Embryo 2",18
"Zebrafish","Embryo",40.7,"Zebrafish Embryo 2",18
"Zebrafish","Embryo",40.9,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",41.3,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",40.8,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",41.5,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",40.6,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",41.2,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",41.2,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",42,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",42.1,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",40.5,"Zebrafish Embryo 3",18
"Zebrafish","Embryo",37.8,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",39.2,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38.7,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38.7,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38.1,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",37.8,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",37.3,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38.8,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",39.2,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38.2,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38.8,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",39.5,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",39.2,"Zebrafish Embryo 4",18
"Zebrafish","Embryo",38.9,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",39.7,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",40.8,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",39.9,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",40.4,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",39.7,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",38.3,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",38.8,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",37.7,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",39.9,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",40.2,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",39.7,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",36.1,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",39.9,"Zebrafish Embryo 5",18
"Zebrafish","Embryo",40.3,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.5,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.9,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",39.2,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.5,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.1,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.2,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.1,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.6,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.2,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.1,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.6,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.5,"Zebrafish Embryo 6",18
"Zebrafish","Embryo",40.6,"Zebrafish Embryo 6",18
